date,close,open,high,low,volume_m,price_range,month,quarter
2021-12-17,58.67300033569336,59.1609992980957,59.32500076293945,58.17399978637695,43.87,1.15,12,4
2021-12-20,59.374000549316406,58.643001556396484,60.28799819946289,58.42599868774414,33.58,1.86,12,4
2021-12-21,60.492000579833984,59.75400161743164,60.78200149536133,59.38600158691406,23.19,1.4,12,4
2021-12-22,61.42399978637695,60.33599853515625,61.481998443603516,60.26300048828125,23.36,1.22,12,4
2021-12-23,61.409000396728516,61.63999938964844,61.6879997253418,60.75699996948242,16.21,0.93,12,4
2021-12-27,61.3120002746582,61.5,61.5,60.92499923706055,20.62,0.58,12,4
2021-12-28,61.07099914550781,61.494998931884766,61.840999603271484,60.96900177001953,18.83,0.87,12,4
2021-12-29,61.05400085449219,61.07099914550781,61.39799880981445,60.46799850463867,12.87,0.93,12,4
2021-12-30,61.20899963378906,61.29899978637695,62.06100082397461,61.124000549316406,16.25,0.94,12,4
2021-12-31,60.24399948120117,61.000999450683594,61.40800094604492,60.20500183105469,19.96,1.2,12,4
2022-01-03,59.73699951171875,60.56100082397461,60.999000549316406,59.055999755859375,30.68,1.94,1,1
2022-01-04,59.1150016784668,59.99100112915039,60.04100036621094,58.15999984741211,43.93,1.88,1,1
2022-01-05,56.75199890136719,59.20000076293945,59.284000396728516,56.6879997253418,41.49,2.6,1,1
2022-01-06,55.32899856567383,55.433998107910156,56.33599853515625,54.20100021362305,57.12,2.13,1,1
2022-01-07,54.10599899291992,54.94599914550781,55.34299850463867,53.821998596191406,33.83,1.52,1,1
2022-01-10,53.98500061035156,53.8489990234375,54.36899948120117,52.63199996948242,44.86,1.74,1,1
2022-01-11,54.08399963378906,53.69900131225586,54.39099884033203,53.00699996948242,30.78,1.38,1,1
2022-01-12,53.72200012207031,54.426998138427734,54.426998138427734,53.20199966430664,37.87,1.22,1,1
2022-01-13,51.91999816894531,53.70600128173828,54.07899856567383,51.82600021362305,44.75,2.25,1,1
2022-01-14,52.569000244140625,51.7599983215332,53.83700180053711,51.1879997253418,78.61,2.65,1,1
2022-01-18,51.08000183105469,52.007999420166016,52.17499923706055,50.86800003051758,48.39,1.31,1,1
2022-01-19,51.58599853515625,51.5,52.32099914550781,51.05099868774414,43.54,1.27,1,1
2022-01-20,50.82500076293945,51.775001525878906,52.66400146484375,50.69300079345703,126.59,1.97,1,1
2022-01-21,39.75,40.042999267578125,40.915000915527344,37.999000549316406,589.04,2.92,1,1
2022-01-24,38.71500015258789,38.39099884033203,38.72600173950195,35.145999908447266,323.46,3.58,1,1
2022-01-25,36.641998291015625,37.91400146484375,38.770999908447266,36.51300048828125,151.46,2.26,1,1
2022-01-26,35.970001220703125,37.82699966430664,38.26599884033203,35.6619987487793,126.84,2.6,1,1
2022-01-27,38.66999816894531,38.20600128173828,39.47999954223633,37.810001373291016,243.25,1.67,1,1
2022-01-28,38.43600082397461,38.67599868774414,38.70000076293945,37.20800018310547,119.67,1.49,1,1
2022-01-31,42.7140007019043,40.196998596191406,42.77000045776367,39.81999969482422,200.48,2.95,1,1
2022-02-01,45.7130012512207,43.29600143432617,45.847999572753906,42.55400085449219,225.68,3.29,2,1
2022-02-02,42.948001861572266,44.82500076293945,45.198001861572266,42.64799880981445,143.46,2.55,2,1
2022-02-03,40.560001373291016,42.14400100708008,42.92599868774414,40.428001403808594,99.05,2.5,2,1
2022-02-04,41.016998291015625,40.73099899291992,41.277000427246094,39.66400146484375,77.9,1.61,2,1
2022-02-07,40.209999084472656,41.016998291015625,41.23500061035156,39.35499954223633,82.33,1.88,2,1
2022-02-08,40.35300064086914,39.81800079345703,40.6609992980957,39.58300018310547,68.18,1.08,2,1
2022-02-09,41.28900146484375,40.8650016784668,41.29800033569336,39.87900161743164,77.38,1.42,2,1
2022-02-10,40.62699890136719,40.209999084472656,40.79999923706055,39.63600158691406,84.53,1.16,2,1
2022-02-11,39.13100051879883,40.53300094604492,41.1609992980957,38.76499938964844,75.59,2.4,2,1
2022-02-14,39.65700149536133,38.75899887084961,40.93600082397461,38.68899917602539,72.02,2.25,2,1
2022-02-15,40.74599838256836,40.37900161743164,40.91600036621094,40.10100173950195,53.92,0.81,2,1
2022-02-16,39.80799865722656,40.15299987792969,40.15599822998047,39.03799819946289,52.78,1.12,2,1
2022-02-17,38.66699981689453,39.42399978637695,39.9109992980957,38.56999969482422,46.69,1.34,2,1
2022-02-18,39.12900161743164,39.25299835205078,40.2869987487793,38.904998779296875,68.02,1.38,2,1
2022-02-22,37.737998962402344,38.89500045776367,39.242000579833984,37.301998138427734,66.97,1.94,2,1
2022-02-23,36.74599838256836,38.27199935913086,38.599998474121094,36.66600036621094,46.14,1.93,2,1
2022-02-24,39.00299835205078,35.50899887084961,39.073001861572266,35.47200012207031,70.69,3.6,2,1
2022-02-25,39.08000183105469,38.6609992980957,39.12900161743164,37.55799865722656,48.42,1.57,2,1
2022-02-28,39.45199966430664,38.733001708984375,39.775001525878906,38.2130012512207,50.35,1.56,2,1
2022-03-01,38.624000549316406,39.15999984741211,39.5,38.37099838256836,32.9,1.13,3,1
2022-03-02,38.00299835205078,38.893001556396484,38.922000885009766,37.520999908447266,53.57,1.4,3,1
2022-03-03,36.80699920654297,38.599998474121094,38.61199951171875,36.46500015258789,60.77,2.15,3,1
2022-03-04,36.17300033569336,36.79999923706055,37.481998443603516,35.71699905395508,53.26,1.76,3,1
2022-03-07,35.0260009765625,36.04100036621094,36.20000076293945,35.02000045776367,57.08,1.18,3,1
2022-03-08,34.17599868774414,34.97999954223633,35.88600158691406,34.06700134277344,64.29,1.82,3,1
2022-03-09,35.87900161743164,35.76900100708008,36.41400146484375,35.05099868774414,65.2,1.36,3,1
2022-03-10,35.676998138427734,35.619998931884766,36.70199966430664,35.33000183105469,48.08,1.37,3,1
2022-03-11,34.03200149536133,36.11899948120117,36.33599853515625,34.0,48.2,2.34,3,1
2022-03-14,33.10100173950195,33.87200164794922,34.13199996948242,32.981998443603516,59.08,1.15,3,1
2022-03-15,34.375,33.5099983215332,34.5359992980957,33.236000061035156,54.61,1.3,3,1
2022-03-16,35.75299835205078,34.81999969482422,35.999000549316406,34.305999755859375,69.82,1.69,3,1
2022-03-17,37.13999938964844,35.970001220703125,37.33100128173828,35.487998962402344,58.18,1.84,3,1
2022-03-18,38.060001373291016,37.20000076293945,38.18000030517578,36.84700012207031,83.25,1.33,3,1
2022-03-21,37.45899963378906,37.801998138427734,38.18199920654297,36.89400100708008,48.66,1.29,3,1
2022-03-22,38.29199981689453,37.11399841308594,38.66600036621094,36.67599868774414,42.43,1.99,3,1
